"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Tyrese Haliburton","IND",73,2451,4.36749950816447,26,1.5345268542199488,0.4131418453669093,0.07869368483179225,0.03934684241589612,0.5902026362384418,0.07699530516431925,0.15568862275449102,0.0070921985815602835
"Coby White","CHI",74,2450,5.855426282662598,15,2.365058172801831,0.6675567423230975,0.15258439824527942,0.038146099561319854,0.5912645432004577,0.10855263157894737,0.19808306709265175,0.013559322033898305
"LeBron James","LAL",70,2444,6.646586345381526,5,2.9919678714859437,0.6626506024096386,0.060240963855421686,0,0.5020080321285141,0.10943124550035997,0.1505050505050505,0.007518796992481203
"Domantas Sabonis","SAC",70,2429,5.805544395339494,0,2.6717557251908395,0.6830052229811169,0,0,0.5423865006026517,0.13407258064516128,0.1590909090909091,0
"Jamal Murray","DEN",67,2418,4.945717732207479,19,1.6485725774024929,0.3618817852834741,0.1407318053880177,0,0.6433453960595095,0.07466442953020135,0.10406091370558376,0.017326732673267328
"Alperen Sengun","HOU",76,2394,8.774087740877409,0,3.895038950389504,0.8610086100861009,0,0,0.9020090200902009,0.14717273431448488,0.1582014987510408,0
"Rudy Gobert","MIN",72,2388,5.720871751886001,0,2.703269069572506,0.5029337803855826,0,0,0.4191114836546521,0.2097560975609756,0.2097560975609756,0
"Dillon Brooks","HOU",75,2388,2.521703183133526,1,1.0541546093427037,0.24803637866887143,0.02066969822240595,0,0.3100454733360893,0.05561497326203209,0.10967741935483871,0.002127659574468085
"Tobias Harris","DET",73,2306,3.483735571878279,3,1.7418677859391396,0.4197271773347324,0.02098635886673662,0,0.14690451206715635,0.09666283084004602,0.13741721854304637,0.0037735849056603774
"Jalen Brunson","NYK",65,2301,9.686486486486487,20,3.545945945945946,0.9081081081081082,0.3027027027027027,0.08648648648648649,1.1891891891891893,0.13298271975957926,0.1772972972972973,0.03201970443349754
"Darius Garland","CLE",75,2301,5.316930775646372,10,2.1059216013344453,0.5004170141784821,0.12510425354462051,0.020850708924103418,0.5421184320266889,0.08446215139442231,0.13988919667590027,0.009380863039399626
"Jarrett Allen","CLE",82,2296,5.822997687618247,0,2.6487281900357367,0.588606264452386,0,0,0.567584612150515,0.17073170731707318,0.17189631650750342,0
"Chris Paul","SAS",82,2292,1.9487396737979241,25,0.16945562380851514,0.021181952976064393,0.12709171785638637,0.042363905952128786,0.44482101249735223,0.02356902356902357,0.0365296803652968,0.016
"Anfernee Simons","POR",70,2292,4.172043010752688,22,1.6129032258064515,0.3870967741935484,0.15053763440860216,0.021505376344086023,0.25806451612903225,0.06823925863521482,0.1273344651952462,0.010033444816053512
"Giannis Antetokounmpo","MIL",67,2289,15.026567481402763,0,7.481402763018066,1.9553666312433582,0.021253985122210415,0,0.871413390010627,0.22341772151898734,0.23218997361477572,0.015625
"Malik Beasley","DET",82,2283,2.928870292887029,16,0.9205020920502092,0.2510460251046025,0.16736401673640167,0.04184100418410042,0.33472803347280333,0.046889089269612265,0.13056379821958458,0.010362694300518135
"Kentavious Caldwell-Pope","ORL",77,2279,2.107832260927446,29,0.5103172842245396,0.19968937208786333,0.04437541601952518,0,0.26625249611715107,0.044642857142857144,0.10087719298245613,0.006024096385542169
"Nikola Vučević","CHI",73,2278,3.059548254620123,0,1.4373716632443532,0.43121149897330596,0,0,0.2874743326488706,0.06439742410303588,0.09138381201044386,0
"Payton Pritchard","BOS",80,2271,1.8758374274229568,4,0.3796337650736936,0.08932559178204555,0.15631978561857973,0.06699419383653417,0.401965163019205,0.027180067950169876,0.06719367588932806,0.011111111111111112
"Kevin Durant","PHX",62,2265,7.788565264293419,5,3.149946062567422,0.7982740021574973,0.15102481121898598,0.021574973031283712,0.8629989212513485,0.1234866828087167,0.16957026713124274,0.018518518518518517
