"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Monté Morris","PHX",45,571,1,0.8726003490401396,0.5235602094240838,0.08665511265164645,0,0,0.2617801047120419,0,0,0,0,0,0,0,2.512998266897747
"Moritz Wagner","ORL",30,564,2.405949256342957,1.9247594050743657,0.8748906386701663,0.7874015748031497,0.6124234470691163,0.34995625546806647,0.34995625546806647,0.4374453193350831,0,0,0,0.08748906386701662,0,0.08748906386701662,8.398950131233596
"Malcolm Brogdon","WAS",24,564,1.274968125796855,0.8488964346349746,0.08488964346349745,0.0851063829787234,0.0851063829787234,0,0.08488964346349745,0,0,0,0,0,0,0,5.787234042553192
"John Konchar","MEM",46,558,1.3333333333333333,1.7369727047146402,0.0827129859387924,0.41981528127623846,0.08396305625524769,0,0,0.0827129859387924,0,0,0,0,0,0,1.4273719563392107
"Dillon Jones","OKC",54,552,2.383053839364519,2.74822695035461,0.1773049645390071,0,0.1757469244288225,0,0.08865248226950355,0,0,0,0,0,0.08787346221441125,0.26595744680851063,1.8453427065026362
"Dwight Powell","DAL",55,551,3.295254833040422,3.9647577092511015,0.7048458149779736,0.8764241893076249,0.6134969325153374,0.0876424189307625,0.3524229074889868,0.2643171806167401,0,0,0,0,0,0,4.206836108676599
"Jordan Goodwin","LAL",29,543,1.9742883379247016,2.385321100917431,0.09174311926605505,0.18382352941176472,0.18382352941176472,0,0.3669724770642202,0,0,0,0,0,0.09191176470588236,0,1.1029411764705883
"Richaun Holmes","WAS",31,534,2.244617498854787,2.7598896044158234,0.5519779208831647,0.9124087591240876,0.4562043795620438,0.09124087591240876,0.27598896044158233,0,0,0,0,0,0,0,4.835766423357664
"Mouhamed Gueye","ATL",33,533,2.4586499776486366,3.127792672028597,0.44682752457551383,0.35778175313059035,0.08944543828264759,0,0.08936550491510277,0.08936550491510277,0,0,0,0,0,0.3574620196604111,2.6833631484794274
"Bismack Biyombo","SAS",28,528,2.417480241748024,2.8864059590316575,0.4655493482309125,0.8356545961002786,0.7428040854224698,0,0.27932960893854747,0,0,0,0,0,0,0.0931098696461825,2.5998142989786444
"Jaylen Clark","MIN",40,522,2.822767237390097,3.2317636195752537,0.09233610341643583,0.18552875695732837,0.09276437847866419,0.09276437847866419,0.554016620498615,0.09233610341643583,0,0,0,0,0,0,2.782931354359926
"Rob Dillingham","MIN",49,516,1.7297802711547452,1.8744142455482662,0.09372071227741331,0,0,0,0.18744142455482662,0,0,0,0,0,0,0,2.611940298507463
"Colby Jones","WAS",39,515,1.774580335731415,1.7307692307692308,0.19230769230769232,0.28708133971291866,0.09569377990430622,0,0.19230769230769232,0.09615384615384616,0,0,0,0,0,0,3.1578947368421053
"Craig Porter Jr.","CLE",51,513,1.179245283018868,1.5108593012275733,0.09442870632672333,0,0.0942507068803016,0,0,0,0,0,0,0,0.1885014137606032,0,2.167766258246937
"Tristan Vukcevic","WAS",35,513,2.6561043802423114,3.2679738562091503,0.9337068160597572,0.27906976744186046,0.6511627906976745,0,0.09337068160597572,0.3734827264239029,0,0,0,0,0.09302325581395349,0.18674136321195145,5.395348837209302
"Elfrid Payton","NOP",24,511,1.7085904129093499,1.7958412098298677,0.1890359168241966,0.09532888465204957,0.09532888465204957,0,0.0945179584120983,0,0,0,0,0,0,0,1.0486177311725453
"Jamal Cain","NOP",37,502,2.2308438409311346,2.2417153996101367,0.29239766081871343,0.28957528957528955,0.09652509652509653,0.09652509652509653,0.1949317738791423,0,0,0,0,0,0,0,3.5714285714285716
"Keaton Wallace","ATL",31,501,1.864244741873805,2.380952380952381,0.09523809523809523,0.09596928982725528,0,0,0.19047619047619047,0,0,0,0,0,0,0,1.1516314779270633
"Jock Landale","HOU",42,500,2.3156899810964084,3.0303030303030303,0.5681818181818182,0.5660377358490566,0.5660377358490566,0,0.1893939393939394,0.0946969696969697,0,0,0,0,0,0,3.30188679245283
"Wendell Moore Jr.","CHA",36,499,1.5166340508806262,1.6699410609037328,0.09823182711198428,0.1949317738791423,0.09746588693957114,0,0,0,0,0,0,0,0,0,1.8518518518518519
"Vince Williams Jr.","MEM",27,499,2.119642016015073,2.245088868101029,0.09354536950420954,0.2846299810246679,0.09487666034155598,0,0.4677268475210477,0.09354536950420954,0,0,0,0.09354536950420954,0.09487666034155598,0,3.130929791271347
"Brandon Williams","DAL",33,487,1.5934331240946402,2.2265246853823815,0.0968054211035818,0.09633911368015415,0.09633911368015415,0,0.484027105517909,0,0,0,0,0,0,0,5.491329479768786
"A.J. Lawson","TOR",26,486,2.1379980563654035,1.3658536585365855,0.2926829268292683,0,0,0,0,0,0,0,0,0,0,0,3.6786060019361084
"Grant Williams","CHA",16,479,2.3541453428863868,2.4514811031664965,0.10214504596527069,0.41025641025641024,0.717948717948718,0,0.20429009193054137,0.5107252298263534,0,0,0,0.10214504596527069,0,0.10214504596527069,4.410256410256411
"Lonnie Walker IV","PHI",20,477,1.3740458015267176,2.034587995930824,0,0.10183299389002037,0,0.10183299389002037,0,0,0,0,0,0,0,0,2.0366598778004072
"Duop Reath","POR",46,469,2.0854526958290944,2.8513238289205702,0.3054989816700611,0.6097560975609756,0.1016260162601626,0.1016260162601626,0.10183299389002037,0,0,0,0,0,0,0.10183299389002037,1.7276422764227641
