"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Terry Rozier","MIA",64,1658,3357,20.226392612451594,4.676794757223711,9.740840035746203,0.4801223241590214,2.710753649091451,9.174858504617218,0.29545454545454547,0.2993421052631579,2.7405421507298184,4.289544235924933,5.0640452785224905,6.523681858802502,1.6085790884718498,0.4585987261146497,0.4768211920529801,0.8021978021978022,0.48503937007874015,0.5384846275752773,0.4622047244094488,0.4955947136563877,0.3574620196604111,0.9532320524277629,0.09785932721712538,0.11915400655347036,0.012987012987012988,20.074250861840362
"Peyton Watson","DEN",68,1657,3393,16.23931623931624,4.597701149425287,8.605953433539641,0.5342465753424658,1.4146772767462423,4.008252284114353,0.35294117647058826,0.35555555555555557,2.799882110226938,7.368110816386679,1.8272914824638962,4.155614500442087,0.08841732979664015,0.8012820512820513,0.8389261744966443,0.9791666666666666,0.3177570093457944,0.5789259953161593,0.5327102803738317,0.5622448979591836,0.412614205717654,1.0610079575596818,0.1232876712328767,0,0,14.30442756091171
"Moses Moody","GSW",74,1649,3349,21.618393550313527,3.5831591519856674,6.89758136757241,0.5194805194805194,3.762317109584951,10.06270528515975,0.37388724035608306,0.37388724035608306,3.1651239175873394,4.77754553598089,2.388772767990445,10.928635413556286,0.35831591519856676,0.6666666666666666,0.7142857142857143,0.9682539682539683,0.5933098591549296,0.5437011711711711,0.5440140845070423,0.5784,0.477754553598089,0.8659301283965363,0.12554112554112554,0.20901761719916392,0.020771513353115726,17.65011697426566
"Tristan da Silva","ORL",74,1629,3215,16.578538102643858,3.701399688958009,7.589424572317263,0.48770491803278687,2.488335925349922,7.4339035769828925,0.33472803347280333,0.33613445378151263,1.7107309486780715,4.541213063763608,2.8615863141524107,7.091757387247278,0.37325038880248834,0.6134453781512605,0.6759259259259259,0.95,0.494824016563147,0.5442787344398341,0.494824016563147,0.5205078125,0.6842923794712286,0.7153965785381027,0.0942622950819672,0.03110419906687403,0.0041841004184100415,15.32846715328467
"Donte DiVincenzo","MIN",62,1606,3256,22.205159705159705,2.3341523341523343,4.791154791154791,0.48717948717948717,5.343980343980344,13.452088452088452,0.3972602739726027,0.39908256880733944,1.5049140049140048,2.764127764127764,1.904176904176904,13.636363636363637,2.3955773955773956,0.5921052631578947,0.6164383561643836,0.8505747126436781,0.7373737373737373,0.5499849407783417,0.5673400673400674,0.5787781350482315,0.18427518427518427,0.5221130221130221,0.10897435897435898,0.15356265356265356,0.01141552511415525,19.516829533116177
"Isaiah Joe","OKC",74,1604,3347,22.58739169405438,2.001792650134449,3.6450552733791457,0.5491803278688525,5.736480430236032,13.922916044218704,0.41201716738197425,0.41201716738197425,1.3743651030773827,3.167015237526143,0.8365700627427547,15.68568867642665,1.5237526142814461,0.7910447761194029,0.803030303030303,0.9114583333333334,0.7925170068027211,0.5436377586206897,0.6037414965986394,0.6180327868852459,0.05975500448162534,0.32865252464893935,0.09016393442622951,0.23902001792650135,0.017167381974248927,17.134533898305087
"Corey Kispert","WAS",61,1602,3358,20.994639666468135,4.020250148898153,6.998213222156045,0.574468085106383,3.57355568790947,9.827278141751043,0.36363636363636365,0.36923076923076925,2.233472304943419,6.372840976771888,1.6676593210244193,10.095294818344252,0.6253722453841573,0.7925925925925926,0.8359375,0.9416666666666667,0.584070796460177,0.5391321428571428,0.5575221238938053,0.5813953488372093,0.4169148302561048,0.8933889219773675,0.1276595744680851,0.11911852293031566,0.012121212121212121,17.455310199789697
"Caris LeVert","ATL",64,1596,3387,22.911130794213168,5.137289636846767,9.300265721877768,0.5523809523809524,3.1296132270445822,8.385001476232654,0.3732394366197183,0.3732394366197183,3.2477118393858873,6.613522291113079,3.6610569825804546,7.440212577502215,1.9486271036315324,0.6436781609195402,0.6511627906976745,0.7924528301886793,0.4741235392320534,0.5928798811544992,0.5559265442404007,0.5834586466165413,0.11809861234130499,0.7381163271331562,0.07936507936507936,0.059049306170652495,0.007042253521126761,19.504480759093305
"Miles McBride","NYK",64,1593,3198,19.10569105691057,3.3458411507191994,7.348342714196373,0.4553191489361702,3.595997498436523,9.75609756097561,0.3685897435897436,0.37216828478964403,1.6260162601626016,2.626641651031895,4.065040650406504,8.72420262664165,2.0637898686679175,0.3925233644859813,0.4158415841584158,0.808695652173913,0.5703839122486288,0.5325953038674033,0.5109689213893968,0.5313043478260869,0.37523452157598497,1.0006253908692933,0.13617021276595745,0.031269543464665414,0.003205128205128205,16.766630316248637
"Isaiah Hartenstein","OKC",57,1590,3292,19.349939246658565,8.475091130012151,14.003645200486027,0.6052060737527115,0,0.5771567436208992,0,0,2.399756986634265,13.730255164034022,3.2199270959902795,0,0,0.8100358422939068,0.904,0,0.03958333333333333,0.541862788259958,0.58125,0.5986842105263158,1.7618469015795868,0.9416767922235723,0.06724511930585683,0,0,16.809421841541756
"Gradey Dick","TOR",54,1587,3291,23.609845031905195,4.588271042236403,9.7538742023701,0.470404984423676,3.463992707383774,9.905803707079915,0.3496932515337423,0.3507692307692308,4.04132482528107,7.292616226071103,1.8839258584017016,9.84503190519599,0.5469462169553327,0.7947019867549668,0.821917808219178,0.9473684210526315,0.5038639876352395,0.5533270123839009,0.49768160741885625,0.5376044568245125,0.3038590094196293,1.0027347310847767,0.102803738317757,0.09115770282588878,0.009202453987730062,21.335113484646193
"Paolo Banchero","ORL",46,1582,3150,37.80952380952381,10.317460317460318,20.285714285714285,0.5086071987480438,2.761904761904762,8.634920634920634,0.31985294117647056,0.3258426966292135,8.88888888888889,7.809523809523809,12.825396825396826,4.095238095238095,4.190476190476191,0.37846153846153846,0.3967741935483871,0.4942528735632184,0.29857299670691545,0.5179935941043083,0.5,0.5515799256505576,0.9523809523809523,1.5555555555555556,0.07668231611893583,0.06349206349206349,0.007352941176470588,33.816964285714285
