"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Chris Paul","SAS",82,2292,2.732471933912307,1.9063757678457953,0.8260961660665114,0.6976744186046512,0.2965473416649015,0.16945562380851514,1.609828426180894,0.48718491844948103,0.06354585892819319,0,0.021181952976064393,0
"Anfernee Simons","POR",70,2292,3.075268817204301,2.086021505376344,0.989247311827957,0.6783216783216783,0.7526881720430108,0.10752688172043011,1.3333333333333333,0.5376344086021505,0.021505376344086023,0,0.12903225806451613,0
"Giannis Antetokounmpo","MIL",67,2289,4.378320935175346,2.1253985122210413,2.252922422954304,0.4854368932038835,1.0626992561105206,0.2763018065887354,1.0626992561105206,0.4038257173219979,0.5526036131774708,0.021253985122210415,0.10626992561105207,0.021253985122210415
"Malik Beasley","DET",82,2283,1.7364016736401673,1.1506276150627615,0.5857740585774058,0.6626506024096386,0.4602510460251046,0.10460251046025104,0.6903765690376569,0.2301255230125523,0.04184100418410042,0,0.02092050209205021,0
"Kentavious Caldwell-Pope","ORL",77,2279,1.3756378966052807,0.8209451963612159,0.5546927002440648,0.5967741935483871,0.17750166407810072,0.08875083203905036,0.6434435322831151,0.26625249611715107,0.02218770800976259,0,0.02218770800976259,0
"Nikola Vučević","CHI",73,2278,2.4435318275154003,1.4373716632443532,1.0061601642710472,0.5882352941176471,0.4928131416837782,0.08213552361396304,0.944558521560575,0.3080082135523614,0.12320328542094455,0.061601642710472276,0.04106776180698152,0.02053388090349076
"Payton Pritchard","BOS",80,2271,1.8535060294774452,1.1612326931665922,0.6922733363108531,0.6265060240963856,0.3573023671281822,0.08932559178204555,0.80393032603841,0.11165698972755694,0.08932559178204555,0,0.2009825815096025,0
"Kevin Durant","PHX",62,2265,4.099244875943905,2.8047464940668823,1.2944983818770226,0.6842105263157895,1.0140237324703345,0.2373247033441208,1.790722761596548,0.3667745415318231,0.08629989212513485,0,0.12944983818770225,0
"Stephen Curry","GSW",70,2252,4.25260472039124,2.7216670210503935,1.5309376993408463,0.64,0.4890495428449926,0.2338932596215182,2.232617478205401,0.744205826068467,0.0637890708058686,0,0.1701041888156496,0
"Shaedon Sharpe","POR",72,2252,3.2552083333333335,2.126736111111111,1.1284722222222223,0.6533333333333333,1.0199652777777777,0.2604166666666667,1.1067708333333333,0.4774305555555556,0.043402777777777776,0,0.06510416666666667,0.043402777777777776
