"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Isaiah Collier","UTA",71,1839,11.650992685475444,28.84012539184953,6.112852664576803,5.538140020898641,3.0564263322884013,2.74294670846395,0.31347962382445144,1.9070010449320793,3.631138975966562
"Keldon Johnson","SAS",77,1838,3.27139492279508,8.139230567914158,1.674954200471081,1.596440722323999,1.4917560847945563,0.15702695629416383,0.02617115938236064,0.654278984559016,0.942161737764983
"Royce O'Neale","PHX",75,1837,4.364123159303882,10.870147255689425,2.2222222222222223,2.14190093708166,1.1244979919678715,0.642570281124498,0.45515394912985274,0.7764390896921017,1.3654618473895583
"P.J. Washington","DAL",57,1835,3.4410296821644337,8.405568689256633,1.9175203572366692,1.5235093249277647,1.4447071184659837,0.31520882584712373,0.15760441292356187,0.5253480430785396,0.9981612818492251
"CJ McCollum","NOP",56,1832,5.953317597692106,14.109624967217414,3.750327825858904,2.2029897718332023,2.6226068712300026,0.9441384736428009,0.1835824809861002,0.9441384736428009,1.2588512981904012
"Dorian Finney-Smith","LAL",63,1821,2.4779735682819384,6.332599118942731,1.1013215859030836,1.3766519823788546,0.5781938325991189,0.3579295154185022,0.16519823788546256,0.3303964757709251,1.0462555066079295
"Haywood Highsmith","MIA",74,1818,3.1067961165048543,7.572815533980583,1.7475728155339805,1.3592233009708738,1.1927877947295422,0.47156726768377255,0.08321775312066575,0.3606102635228849,0.9986130374479889
"Alex Sarr","WAS",67,1814,4.182904650558586,10.002598077422707,2.5461158742530525,1.636788776305534,1.636788776305534,0.6235385814497272,0.28578851649779163,0.20784619381657574,1.4289425824889581
"Kyrie Irving","DAL",50,1804,6.244931062449311,14.625574479589078,4.109218707758854,2.135712354690457,2.5141930251419304,1.3246823465801567,0.2703433360367667,0.5136523384698567,1.6220600162206003
"Kyshawn George","WAS",68,1802,4.49468085106383,11.037234042553191,2.4468085106382977,2.047872340425532,1.702127659574468,0.5585106382978723,0.18617021276595744,0.3191489361702128,1.7287234042553192
"Cameron Johnson","BKN",57,1800,5.3805408419291885,13.353777529969333,2.7878449958182325,2.5926958461109564,1.8399776972400335,0.8921103986618344,0.05575689991636465,1.0593810984109284,1.533314747700028
"Duncan Robinson","MIA",74,1786,4.925832633641198,11.446963336132102,3.330534564791492,1.595298068849706,1.7912118667786174,1.3993842709207949,0.1399384270920795,0.8956059333893087,0.6996921354603974
"Kris Dunn","LAC",74,1783,5.8236272878535775,14.226289517470882,3.24459234608985,2.579034941763727,1.968940654464781,1.136993899057127,0.1386577925679423,0.9706045479755963,1.6084303937881308
"Luka Dončić","LAL",50,1769,10.510428100987925,25.4390779363337,6.0922063666300765,4.418221734357848,4.7200878155872665,1.1251372118551042,0.24698133918770582,1.920965971459934,2.497255762897914
"Scoot Henderson","POR",66,1759,9.223568281938325,22.16409691629956,5.506607929515418,3.7169603524229076,3.909691629955947,0.9911894273127754,0.6057268722466961,1.0187224669603525,2.698237885462555
"Wendell Carter Jr.","ORL",68,1758,3.848363009764503,9.103963239517519,2.441125789775991,1.4072372199885124,1.4646754738655945,0.5456634118322803,0.43078690407811604,0.5456634118322803,0.8615738081562321
"Collin Sexton","UTA",63,1758,7.265193370165746,17.790055248618785,4.005524861878453,3.2596685082872927,2.1270718232044197,1.574585635359116,0.30386740331491713,0.9668508287292817,2.292817679558011
"Mike Conley","MIN",71,1756,9.067652075042638,21.60318362706083,5.599772598067084,3.467879476975554,3.6384309266628767,1.7055144968732234,0.2558271745309835,0.9096077316657192,2.558271745309835
"Amir Coffey","LAC",72,1748,2.1763708309779535,5.313736574335783,1.215375918598078,0.9609949123798757,0.7066139061616733,0.36743923120407007,0.14132278123233466,0.3391746749576032,0.6218202374222724
"Jimmy Butler III","GSW",55,1746,8.470722001137009,22.171688459351905,3.2404775440591247,5.230244457077885,1.9044911881750994,1.0801591813530416,0.2558271745309835,2.0181921546333146,3.2120523024445706
"Aaron Wiggins","OKC",76,1744,3.6955322669608384,9.156094870380585,1.9305019305019304,1.765030336458908,1.2961941533370105,0.5239933811362383,0.11031439602868175,0.441257584114727,1.323772752344181
"Walker Kessler","UTA",58,1740,2.7034559643255296,6.7725752508361206,1.3377926421404682,1.3656633221850614,0.5574136008918618,0.6967670011148273,0.08361204013377926,0.5295429208472687,0.8361204013377926
"De'Andre Hunter","CLE",64,1740,2.4757804090419806,6.001076426264801,1.426264800861141,1.0495156081808397,0.8611410118406889,0.5382131324004306,0.02691065662002153,0.2691065662002153,0.7804090419806243
