"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Tre Jones","CHI",46,905,0.553301687763713,0.6470588235294118,4.734736842105263,24.59166666666667,3.793466807165437,5.584826132771338,0.44537815126050423,0.6792452830188679,0.7659574468085106,0.5,0.11320754716981132,1.791359325605901,4.056902002107481,0.3235294117647059,0.44155844155844154,0.4722222222222222,0.5294117647058824,0.06493506493506493,0.15806111696522657,0.36880927291886195,0.029411764705882353,0.42857142857142855,0.42857142857142855,0.6666666666666666,0,0.5795574288724974,1.2644889357218125,0.10084033613445378,0.4583333333333333,0.4583333333333333,1,0,0.4214963119072708,1.2644889357218125,0.10084033613445378,0.3333333333333333,0.34782608695652173,1,0.041666666666666664,7,22,0.3181818181818182,1,1
"Adem Bona","PHI",58,902,0.6399205729166667,0.8541666666666666,2.167539267015707,24.6,6.453362255965293,8.839479392624728,0.8489583333333334,0.7300613496932515,0.7777777777777778,0.680672268907563,0.06134969325153374,0.8676789587852495,1.5184381778741864,0.14583333333333334,0.5714285714285714,0.64,0.8125,0.10714285714285714,0,0,0,0,0,0,0,0,0.05422993492407809,0.005208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jaden Ivey","DET",30,898,0.5323944852941176,0.6828087167070218,6.076447876447876,26.551948051948052,4.237754540451293,7.044578976334617,0.3099273607748184,0.6015625,0.6416666666666667,0.44155844155844154,0.0625,2.2564667033571824,5.778756191524491,0.2542372881355932,0.3904761904761905,0.44565217391304346,0.3902439024390244,0.12380952380952381,0.4953219592735278,1.4309301045679692,0.06295399515738499,0.34615384615384615,0.34615384615384615,0.4444444444444444,0,0.6604292790313704,1.8161805173362686,0.07990314769975787,0.36363636363636365,0.375,0.9166666666666666,0.030303030303030304,2.8068244358833243,6.659328563566318,0.2929782082324455,0.4214876033057851,0.4322033898305085,0.7058823529411765,0.024793388429752067,51,118,0.4322033898305085,3,0
"Kelly Olynyk","NOP",44,891,0.5533839552238805,0.6977611940298507,5.451322751322751,25.837974683544303,3.7787513691128147,5.9145673603504925,0.40298507462686567,0.6388888888888888,0.7040816326530612,0.5652173913043478,0.09259259259259259,1.3143483023001095,3.176341730558598,0.21641791044776118,0.41379310344827586,0.43636363636363634,0.5416666666666666,0.05172413793103448,0.43811610076670315,1.2595837897042717,0.08582089552238806,0.34782608695652173,0.34782608695652173,0.625,0,0.32858707557502737,0.547645125958379,0.03731343283582089,0.6,0.6,0.8333333333333334,0,1.4786418400876231,3.7787513691128147,0.2574626865671642,0.391304347826087,0.391304347826087,0.8148148148148148,0,27,69,0.391304347826087,0,0
"Chet Holmgren","OKC",32,877,0.5584849693251533,0.6941176470588235,5.513839285714285,25.926724137931036,4.682454251883746,6.458557588805167,0.35294117647058826,0.725,0.7981651376146789,0.6091954022988506,0.09166666666666666,1.5069967707212055,4.467168998923574,0.24411764705882352,0.3373493975903614,0.4375,0.6428571428571429,0.2289156626506024,0.3767491926803014,1.1302475780409043,0.061764705882352944,0.3333333333333333,0.3684210526315789,1,0.09523809523809523,0.48439181916038754,1.0764262648008611,0.058823529411764705,0.45,0.5,1,0.1,1.883745963401507,5.166846071044134,0.2823529411764706,0.3645833333333333,0.3684210526315789,1,0.010416666666666666,35,95,0.3684210526315789,1,0
"Alec Burks","MIA",49,863,0.5482074427480915,0.8339483394833949,8.2765625,24.65219512195122,0.46565774155995343,1.1059371362048893,0.07011070110701106,0.42105263157894735,0.47058823529411764,0.5,0.10526315789473684,0.8149010477299186,1.8626309662398137,0.11808118081180811,0.4375,0.4827586206896552,0.6428571428571429,0.09375,0.2910360884749709,0.7566938300349243,0.04797047970479705,0.38461538461538464,0.38461538461538464,0.4,0,2.3282887077997674,5.820721769499418,0.36900369003690037,0.4,0.41237113402061853,0.975,0.03,2.7939464493597206,6.228172293364377,0.3948339483394834,0.4485981308411215,0.4528301886792453,0.9375,0.009345794392523364,48,106,0.4528301886792453,1,0
"Neemias Queta","BOS",62,863,0.585309900990099,0.729064039408867,3.1375,36.199999999999996,6.171360095865788,8.687837028160574,0.7142857142857143,0.7103448275862069,0.7410071942446043,0.7572815533980582,0.041379310344827586,1.6776512881965249,3.2354703415218693,0.2660098522167488,0.5185185185185185,0.5957446808510638,0.9285714285714286,0.12962962962962962,0.05991611743559017,0.05991611743559017,0.0049261083743842365,1,1,1,0,0,0.05991611743559017,0.0049261083743842365,0,0,0,0,0,0.11983223487118035,0.009852216748768473,0,0,0,0,0,1,0,1,0
"Chris Boucher","TOR",50,862,0.5762832432432432,0.8432432432432433,4.050282485875706,24.866321243523316,4.953917050691245,6.854838709677419,0.3216216216216216,0.7226890756302521,0.8269230769230769,0.6162790697674418,0.12605042016806722,1.0368663594470047,2.304147465437788,0.10810810810810811,0.45,0.4864864864864865,0.7777777777777778,0.075,0.4608294930875576,1.0368663594470047,0.04864864864864865,0.4444444444444444,0.4444444444444444,0.625,0,1.9585253456221199,5.011520737327189,0.23513513513513515,0.39080459770114945,0.39080459770114945,1,0,2.0737327188940093,6.105990783410138,0.2864864864864865,0.33962264150943394,0.34285714285714286,0.9722222222222222,0.009433962264150943,36,106,0.33962264150943394,0,0
"Zion Williamson","NOP",30,857,0.5455144268774704,0.5807086614173228,4.132323232323232,28.73076923076923,10.072747621712367,15.780637940682709,0.5551181102362205,0.6382978723404256,0.7114624505928854,0.45,0.10283687943262411,5.8198097369893675,11.639619473978735,0.4094488188976378,0.5,0.5909090909090909,0.47115384615384615,0.15384615384615385,0.05595970900951315,0.27979854504756574,0.00984251968503937,0.2,0.2,1,0,0,0.05595970900951315,0.001968503937007874,0,0,0,0,0.16787912702853947,0.6715165081141579,0.023622047244094488,0.25,0.25,0.6666666666666666,0,3,11,0.2727272727272727,1,0
"Khris Middleton","WAS",37,843,0.4923522388059701,0.4896142433234421,11.170098039215686,26.2406015037594,1.1129660545353366,1.7807456872565386,0.09495548961424333,0.625,0.7142857142857143,0.6,0.125,2.8380634390651087,5.286588759042849,0.2818991097922849,0.5368421052631579,0.5604395604395604,0.35294117647058826,0.042105263157894736,2.28158041179744,4.2849193099610465,0.228486646884273,0.5324675324675324,0.5466666666666666,0.36585365853658536,0.025974025974025976,0.38953811908736785,1.2242626599888704,0.06528189910979229,0.3181818181818182,0.3333333333333333,0.8571428571428571,0.045454545454545456,2.28158041179744,6.176961602671119,0.3293768545994065,0.36936936936936937,0.3761467889908257,0.7317073170731707,0.018018018018018018,41,110,0.37272727272727274,1,0
"KJ Simpson","CHA",36,842,0.5175554421768708,0.6411960132890365,6.804093567251462,25.797692307692305,2.303603071470762,3.7212049616066154,0.20930232558139536,0.6190476190476191,0.6964285714285714,0.3333333333333333,0.1111111111111111,1.772002362669817,5.493207324276432,0.3089700996677741,0.3225806451612903,0.35294117647058826,0.3,0.08602150537634409,0.11813349084465447,0.8860011813349085,0.04983388704318937,0.13333333333333333,0.13333333333333333,0.5,0,0.29533372711163614,1.1222681630242173,0.06312292358803986,0.2631578947368421,0.29411764705882354,1,0.10526315789473684,1.6538688718251624,6.556408741878323,0.3687707641196013,0.25225225225225223,0.2545454545454545,0.6071428571428571,0.009009009009009009,28,111,0.25225225225225223,0,0
"Shake Milton","LAL",57,836,0.5202237154150198,0.6299212598425197,6.721621621621622,25.519811320754716,1.9701492537313432,3.2238805970149254,0.2125984251968504,0.6111111111111112,0.673469387755102,0.36363636363636365,0.09259259259259259,2.328358208955224,5.074626865671642,0.3346456692913386,0.4588235294117647,0.5131578947368421,0.41025641025641024,0.10588235294117647,0.29850746268656714,0.5373134328358209,0.03543307086614173,0.5555555555555556,0.5555555555555556,0,0,0.7164179104477612,2.1492537313432836,0.14173228346456693,0.3333333333333333,0.36363636363636365,1,0.08333333333333333,1.5522388059701493,4.17910447761194,0.2755905511811024,0.37142857142857144,0.38235294117647056,1,0.02857142857142857,26,69,0.37681159420289856,1,0
