ShortName,PlusMinus,Minutes
"Devin Booker, Royce O'Neale, Grayson Allen, Mark Williams, Collin Gillespie",13.86999244142102,25
"Kevin Huerter, Isaac Okoro, Patrick Williams, Josh Giddey, Nikola Vučević",-11.437908496732035,24
"Alex Sarr, Bub Carrington, Tre Johnson, Khris Middleton, CJ McCollum",-43.70370370370371,24
"Jamal Murray, Peyton Watson, Tim Hardaway Jr., Aaron Gordon, Nikola Jokić",49.928774928774914,24
"Lauri Markkanen, Svi Mykhailiuk, Keyonte George, Isaiah Collier, Jusuf Nurkić",-40.422322775263936,24
"P.J. Washington, Dereck Lively II, Cooper Flagg, Klay Thompson, Anthony Davis",7.834757834757823,24
"Trae Young, Jalen Johnson, Dyson Daniels, Zaccharie Risacher, Kristaps Porziņģis",-18.965517241379303,24
"Luke Kennard, Nickeil Alexander-Walker, Jalen Johnson, Dyson Daniels, Kristaps Porziņģis",5.083333333333329,24
"Domantas Sabonis, Precious Achiuwa, DeMar DeRozan, Dennis Schröder, Zach LaVine",-30.43478260869564,24
"Donovan Mitchell, Jarrett Allen, De'Andre Hunter, Darius Garland, Evan Mobley",56.67420814479638,23
"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Trendon Watford, Andre Drummond",23.529411764705884,23
"Jock Landale, Ja Morant, Santi Aldama, Cedric Coward, Kentavious Caldwell-Pope",-16.027356526910495,23
"Alperen Sengun, Tari Eason, Amen Thompson, Reed Sheppard, Steven Adams",65.0890143291359,23
"Alperen Sengun, Tari Eason, Amen Thompson, Reed Sheppard, Clint Capela",8.695652173913047,23
"Royce O'Neale, Grayson Allen, Nick Richards, Collin Gillespie, Oso Ighodaro",10.33717834960072,23
"Kevin Huerter, Isaac Okoro, Tre Jones, Matas Buzelis, Nikola Vučević",-18.23979591836735,23
"Bruce Brown, Christian Braun, Peyton Watson, Tim Hardaway Jr., Nikola Jokić",46.56862745098039,23
"Jock Landale, Ja Morant, Santi Aldama, Jaylen Wells, Cedric Coward",-23.913043478260875,22
"Jamal Murray, Cameron Johnson, Peyton Watson, Aaron Gordon, Nikola Jokić",13.333333333333345,22
"Norman Powell, Bam Adebayo, Davion Mitchell, Kel'el Ware, Andrew Wiggins",-12.0,22
"Devin Booker, Royce O'Neale, Dillon Brooks, Mark Williams, Collin Gillespie",-48.03782505910165,22
"Trae Young, Nickeil Alexander-Walker, Onyeka Okongwu, Dyson Daniels, Mouhamed Gueye",-22.657004830917884,22
"Jaren Jackson Jr., Ja Morant, Santi Aldama, Jaylen Wells, Kentavious Caldwell-Pope",0.3546099290780091,22
"Domantas Sabonis, Keon Ellis, Russell Westbrook, DeMar DeRozan, Zach LaVine",-21.653746770025847,22
"Miles Bridges, Collin Sexton, Tre Mann, Moussa Diabaté, Kon Knueppel",-33.84463137060861,21
"Daniel Gafford, Naji Marshall, Brandon Williams, Max Christie, Cooper Flagg",-31.01654846335697,21
"Naz Reid, Jaden McDaniels, Jaylen Clark, Mike Conley, Julius Randle",10.531400966183568,21
"Kris Dunn, John Collins, Brook Lopez, Nicolas Batum, James Harden",30.769230769230774,21
"Michael Porter Jr., Ziaire Williams, Day'Ron Sharpe, Tyrese Martin, Drake Powell",-18.181818181818173,21
"Lonzo Ball, De'Andre Hunter, Dean Wade, Evan Mobley, Jaylon Tyson",18.491208167895635,21
